78,33,98,93,94,1,73,50,6,89,75,97,29,11,44,15,17,69,59,56,96,41,13,5,95,61,35,85,28,82,47,27,87,60,38,64,14,52,4,36,77,72,7,43,91,22,21,37,71,45,58,57,18,68,63,25,3,53,80,55,65,86,90,46,74,49,26,62,24,20,70,2,39,10,16,76,42,34,99,8,92,83,79,48,84,9,19,51,67,12,54,31,66,81,32,0,30,23,88,40
never (4.84),beware (1.88),worst (5.36),business (4.05),told (4.49),say (2.73),use (1.49),u (3.11),took (1.21),disappointed (1.57),rude (6.23),money (3.85),employee (3.52),eat (0.93),refund (2.11),store (2.14),order (5.55),called (2.98),regular (0.61),encountered (0.23),sent (1.45),closed (2.49),half (1.13),company (3.05),minute (3.86),fry (1.8),today (1.27),dry (2.16),water (2.83),guy (1.45),ever (1.13),table (1.94),door (1.94),help (0.94),high (0.74),put (1.05),thick (0.85),dirty (1.75),slice (1.2),management (2.04),pm (2.87),bottle (0.78),damage (0.77),front_desk (0.83),two (0.9),digestive (0.29),vacation (0.41),herb (0.56),car (1.62),sick (2.42),blonde (0.75),old (0.77),establisment (0.52),last_night (0.69),lash (0.86),sashimi (0.42),lettuce (0.82),communication (0.79),train (0.88),bagel (1.02),kid (0.85),impressive (0.07),health (0.61),biryani (0.4),show (1.53),tube (0.5),cocaine (0.46),ordered (2.42),mask (0.88),security (0.55),apple (0.34),mower (0.28),member (0.91),venue (0.41),appointment (1.75),room (2.24),foot (0.67),american (0.63),hipster (0.84),ice (0.97),sock (0.3),jose (0.32),prescription (0.7),plantain (0.28),cone (0.12),entertainment (0.66),wonton (0.11),picture (0.53),megan (0.36),sour (0.55),groomer (0.31),surgery (0.63),wearing (1.08),tanning (0.27),espresso (0.47),treatment (0.11),visitor (0.1),e (0.4),dress (1.0),file (0.24)
one (2.73),way (1.82),horrible (4.01),customer_service (2.63),said (3.89),like (2.01),using (1.22),talk (1.3),given (1.03),corona (0.31),customer (4.67),le (1.43),line (1.62),serve (0.62),pay (2.02),item (1.68),received (2.03),phone (2.87),prime (0.35),extremely (0.21),online (1.43),drive (1.89),piece (1.03),claim (0.96),min (2.13),cabbage (0.64),month (1.17),cold (1.67),bag (1.62),lady (1.43),ever_experienced (0.76),waitress (1.35),window (0.64),support (0.8),low (0.6),lost (1.03),mixed (0.4),floor (1.05),pasta (1.1),move (1.86),day (0.94),bottled (0.31),damaged (0.63),guest (0.69),numerous (0.53),normalcy (0.28),america (0.31),taste (0.48),battery (0.89),food_poisoning (1.22),cut (0.66),dead (0.45),rediculus (0.45),husband (0.26),pedicure (0.84),nigiri (0.18),ranch (0.54),buyer (0.55),ticket (0.59),gravy (0.1),daughter (0.57),affordable (0.02),test (0.59),pok (0.2),watch (0.61),remove (0.31),douchebag (0.29),papa (0.35),appropriate (0.46),thief (0.48),overpowering (0.24),printout (0.23),training (0.56),opera (0.23),scheduled (0.7),sheet (0.65),leg (0.54),finest (0.27),aesthetic (0.2),sugar (0.48),wool (0.27),c (0.31),procedure (0.69),quesadilla (0.24),cheesecake (0.08),dancer (0.44),tofu (-0.05),invitation (0.49),krystal (0.27),pours (0.13),puppy (0.26),hospital (0.48),wear (0.41),tan (0.19),starbucks (0.1),chiropractor (0.11),bridge (0.08),te (0.11),fit (0.22),application (0.15)
get (2.7),without (1.48),terrible (3.06),people (2.52),asked (3.57),tell (1.74),change (1.18),made (0.87),request (0.71),spoiled (0.27),racist (1.38),spent (1.43),counter (1.19),cook (0.59),paid (1.74),bought (1.12),receive (1.55),call (2.17),mostly (0.24),smart (0.2),sign (1.25),drove (0.97),large (0.98),shady (0.88),hour (2.07),hamburger (0.6),th (0.74),tasted_like (1.2),barely (1.08),yelled (0.84),far (0.69),bartender (0.96),open (0.62),effort (0.69),based (0.57),thru (0.55),chunk (0.36),smell (0.9),crust (0.66),rent (1.09),monday (0.58),alcohol (0.3),replaced (0.53),hotel (0.5),nearly (0.47),yawning (0.26),norcross (0.29),soy (0.27),gas (0.54),headache (0.58),black (0.41),lawn (0.32),orde (0.37),girlfriend (0.17),stylist (0.32),eel (0.1),pickled (0.38),hire (0.31),uber (0.56),scramble (0.09),young (0.5),enjoyable (-0.05),lab (0.46),tonkatsu (0.17),seen (0.5),broken (0.29),plague (0.26),andouille (0.27),cleanliness (0.37),stolen (0.42),cranberry (0.2),pronto (0.2),class (0.4),catch (0.2),appt (0.41),sleep (0.33),face (0.44),cater (0.21),tasteful (0.16),boba (0.24),sticker (0.22),eric (0.27),insurance (0.58),nacho (0.17),oreo (0.06),musician (0.14),noodle (-0.12),bridesmaid (0.35),iris (0.27),pint (0.06),groom (0.14),clinic (0.34),clothes (0.38),bikini (0.1),mocha (-0.01),recovery (0.05),garden (0.07),grande (0.08),lens (0.05),crooked (0.14)
still (2.34),anything (1.48),bad (2.63),review (2.37),manager (2.9),want (1.54),take (0.85),person (0.75),situation (0.59),go (0.24),unprofessional (1.25),tip (1.32),cashier (1.18),russian (0.45),charge (1.56),associate (0.93),arrived (1.43),response (1.4),ideal (0.22),recommending (0.09),website (1.16),close (0.85),bottom (0.65),lie (0.66),waited (2.01),seasoning (0.53),past (0.56),soggy (1.1),wet (1.02),id (0.69),wish_could (0.66),party (0.89),restroom (0.43),approach (0.64),average (0.55),hold (0.54),leaf (0.33),toilet (0.7),calzone (0.53),lease (0.56),late (0.53),popcorn (0.29),quote (0.49),stay (0.37),single (0.39),unfresh (0.25),georgia (0.28),freshness (0.25),mechanic (0.34),diarrhea (0.48),silver (0.3),snake (0.29),untasty (0.3),coworkers (0.14),cuticle (0.28),duck (0.1),salt (0.38),job (0.18),flight (0.46),breakfast_sandwich (0.03),baby (0.33),stellar (-0.23),emergency (0.43),lumpia (0.17),opportunity (0.22),pad (0.27),avoids (0.24),pescado (0.18),properly (0.28),smoking (0.35),mint (0.14),relentlessly (0.18),cycle (0.37),theater (0.17),rescheduled (0.24),towel (0.24),gum (0.26),grown (0.17),charm (0.13),peppermint (0.18),canvas (0.21),g (0.23),teeth (0.18),chipotle (0.12),cookie (-0.02),tune (0.14),broth (-0.16),photo (0.26),stephanie (0.23),lager (0.06),leash (0.06),birth (0.33),pant (0.14),regime (0.06),pastry (-0.22),injury (0.04),tour (0.06),al (0.07),suit (-0.12),apply (0.1)
leave (2.12),thing (1.3),disgusting (2.05),give (2.07),wrong (1.93),let (1.17),need (0.8),checking (0.58),let_know (0.56),skip (0.22),attitude (1.18),spending (0.86),empty (1.17),kitchen (0.43),charged (1.37),purchased (0.71),delivered (1.09),email (1.37),generally (0.22),attentiveness (0.06),paper (1.05),hill (0.58),stick (0.61),denied (0.58),waiting (1.81),poutine (0.49),st (0.43),runny (0.99),oil (0.74),hear (0.69),forever (0.53),seated (0.86),section (0.37),skill (0.57),par (0.41),placed (0.47),artificial (0.32),dump (0.67),tomato (0.34),apartment (0.43),sunday (0.52),kettle (0.24),fixed (0.43),motel (0.34),multiple (0.36),cock (0.23),live (0.27),protein (0.16),towing (0.32),losing (0.3),cutting (0.28),smoke (0.28),tricking (0.28),colleague (0.12),barber (0.12),ceviche (0.09),dressing (0.35),detailed (0.15),layover (0.44),ham (-0.04),child (0.31),delivers (-0.26),office (0.35),ew (0.15),premise (0.11),cover (0.27),unlucky (0.15),puck (0.16),safety (0.27),incident (0.27),salted (0.11),dell (0.15),studio (0.36),character (0.15),scheduling (0.19),housekeeping (0.21),ear (0.2),diversity (0.16),sleek (0.13),tapioca (0.12),display (0.2),andrew (0.17),xray (0.18),chimichanga (0.11),scoop (-0.11),played (0.14),beef (-0.21),tattoo (0.26),listened (0.19),brewery (-0.03),grooming (0.05),symptom (0.2),shirt (0.12),healthier (0.05),barista (-0.33),practitioner (0.04),willamette (0.02),sin (0.06),pair (-0.28),applied (0.05)
even (2.01),nothing (1.23),awful (1.95),please (1.86),someone (1.75),know (1.12),available (0.7),kept (0.58),clear (0.53),favor (0.22),treated (1.16),cost (0.74),walked (1.11),filipino (0.38),account (1.15),vape (0.58),driver (0.86),answer (1.29),particularly (0.21),micah (0.05),package (0.99),opened (0.44),covered (0.38),corporate (0.53),waited_minute (1.01),mac (0.47),last (0.43),bland (0.98),napkin (0.73),man (0.56),literally (0.52),host (0.84),noise (0.29),providing (0.31),expected (0.38),drop (0.34),red (0.29),fridge (0.66),pea (0.18),mover (0.36),morning (0.32),soda (0.21),installed (0.41),hilton (0.31),twenty (0.36),mangled (0.22),state (0.26),grain (0.12),rv (0.29),worried (0.24),colored (0.25),sun (0.22),bajji (0.27),sister (0.09),toe (0.08),sake (0.05),pickle (0.3),workmanship (0.13),fly (0.36),mimosa (-0.07),mom (0.27),impressed (-0.28),medicine (0.32),adobo (0.13),foundation (0.11),coat (0.25),belong (0.15),pancit (0.14),safely (0.26),crime (0.26),cobbler (0.09),owning (0.13),workout (0.35),baseball (0.14),reschedule (0.16),shower (0.18),blood (0.19),trend (0.16),chic (0.11),sweetener (0.08),lamp (0.19),cooper (0.16),exam (0.04),tortilla (0.11),caramel (-0.14),arcade (0.13),dumpling (-0.29),font (0.22),sonny (0.19),hop (-0.1),cat (0.03),nurse (0.19),jean (0.11),filler (0.01),cafe (-0.53),relaxation (0.04),skyline (-0.0),los (-0.05),,filing (0.05)
could (1.82),instead (1.15),waste_time (1.95),hope (1.83),asking (1.43),maybe (1.08),used (0.66),name (0.52),unable (0.53),figo (0.19),disrespectful (1.0),amount (0.71),sat (1.01),asian (0.25),cancel (1.1),ebay (0.58),delivery (0.86),emailed (1.16),typical (0.2),exceedingly (0.04),system (0.79),next_door (0.39),quarter (0.35),comcast (0.47),minute_later (0.75),jojo (0.23),week (0.42),gross (0.85),pot (0.69),drunk (0.44),honestly (0.34),made_reservation (0.6),pool (0.25),sense (0.3),match (0.35),stuck (0.34),overly (0.28),filthy (0.51),marinara (0.18),rental (0.36),friday (0.31),poured (0.2),estimate (0.34),checkin (0.29),six (0.28),payday (0.22),search (0.16),veg (0.09),vehicle (0.27),caused (0.21),look (0.22),fir (0.22),cuervo (0.26),cousin (0.09),polish (0.03),squid (0.04),sub (0.3),realtor (0.08),passenger (0.24),hash (-0.07),dad (0.26),special (-0.37),provider (0.29),teriyaki (0.13),connect (0.09),ripped (0.25),comprehend (0.14),loco (0.12),operating (0.24),danger (0.22),creamy (0.09),flushing (0.13),facility (0.31),soundtrack (0.13),scheduler (0.04),pillow (0.07),eye (0.18),farm (0.14),trendy (0.04),vanilla (0.05),wallet (0.18),jimmy (0.16),dentist (0.04),tamale (0.08),shake (-0.25),stage (0.1),soup (-0.4),drawing (0.19),jessica (0.17),brew (-0.18),dog (-0.11),pharmacy (0.14),sleeve (0.09),felt (-0.02),coffee_shop (-0.85),session (0.04),fountain (-0.04),con (-0.08),,applying (0.04)
going (1.67),completely (1.13),overpriced (1.74),run (1.61),speak (1.13),mean (1.02),managed (0.53),around (0.5),explain (0.53),marukin (0.17),acted (0.65),total (0.6),standing (0.99),served (0.25),credit (0.96),shopping (0.55),ready (0.83),calling (1.1),decent (0.2),friendlier (0.04),google (0.75),driving (0.38),tiny (0.32),verizon (0.44),hour_later (0.44),barbecue (0.18),week_ago (0.4),burnt (0.66),threw (0.68),men (0.42),probably (0.33),hostess (0.57),wifi (0.22),care (0.29),lower (0.35),break (0.32),kick (0.21),roach (0.5),meatball (0.16),complex (0.36),wednesday (0.19),snack (0.19),refrigerator (0.31),conference (0.25),three (0.26),sb (0.2),nyc (0.13),topping (0.05),tow (0.22),afraid (0.2),beard (0.22),skate (0.21),naaa (0.23),bf (0.08),pedi (-0.12),apps (0.04),onion (0.28),hardworking (0.06),terminal (0.22),brunch (-0.14),son (0.22),pleased (-0.38),ultrasound (0.25),khao (0.11),race (0.09),copper (0.25),bugging (0.14),eww (0.12),protected (0.23),police (0.21),candied (0.05),doublecheck (0.12),membership (0.17),touristy (0.11),schedule (0.02),sleeping (0.06),rough (0.16),incorporating (0.13),upscale (0.01),fruit (0.04),earring (0.16),h (0.14),doctor (-0.19),guacamole (0.04),chocolate (-0.49),playing (0.1),ramen (-0.72),drawn (0.08),bishop (0.17),tap (-0.52),animal (-0.12),er (0.12),heel (0.04),afterwards (-0.04),latte (-1.09),adjustment (-0.04),river (-0.06),se (-0.14),,filed (0.02)
another (1.62),unless (0.96),avoid (1.65),elsewhere (1.4),rudely (1.11),joke (0.96),difficult (0.48),working (0.43),correct (0.53),appetite (0.17),rudest (0.57),cent (0.52),stood (0.85),cooking (0.2),receipt (0.93),market (0.51),grubhub (0.82),text (0.68),cafeteria (0.19),commend (0.02),address (0.72),highway (0.29),husky (0.28),scam (0.42),half_hour (0.29),cheesesteak (0.17),december (0.39),frozen (0.62),silverware (0.67),bouncer (0.41),unbelievable (0.21),waiter (0.16),loud (0.21),respect (0.29),rated (0.34),bearing (0.31),heavy (0.2),ant (0.39),salami (0.14),unit (0.32),pmpm (0.17),rose (0.19),bid (0.31),vacasa (0.21),several (0.25),unpleased (0.19),southwest (0.12),paste (0.03),van (0.18),miracle (0.2),wash (0.21),yard (0.21),epsolon (0.21),fiance (0.06),haircut (-0.43),mackerel (0.03),ketchup (0.22),dealt (0.05),traveler (0.2),bacon (-0.26),toddler (0.19),superb (-0.66),research (0.25),potstickers (0.1),battle (0.09),flat (0.22),hammering (0.14),deepfried (0.1),glove (0.18),assaulted (0.2),nut (0.04),spamming (0.12),core (0.15),nostalgia (0.11),availability (-0.08),mattress (0.06),bleeding (0.14),african (0.12),contemporary (-0.05),cereal (0.04),collection (0.16),alexander (0.13),tooth (-0.2),mexican (-1.69),pie (-0.53),comedy (0.09),fried_rice (-1.23),arranged (0.08),vanessa (0.13),beer (-0.89),pet (-0.31),pregnancy (0.08),wore (0.01),sugared (-0.05),coffee (-3.2),therapy (-0.08),history (-0.19),yo (-0.26),,
would (1.38),clearly (0.92),disappointing (1.51),sad (0.98),saying (1.11),sorry (0.84),offer (0.45),whole (0.42),problem (0.52),alone (0.15),act (0.57),expensive (0.47),clerk (0.76),soul_food (0.12),cancelled (0.91),buy (0.44),pickup (0.77),message (0.61),tough (0.16),incredibly (0.01),number (0.68),near (0.24),small (0.25),lawyer (0.4),shortly (0.23),patty (0.15),since (0.32),undercooked (0.62),pouring (0.5),throwing (0.37),life (0.21),waitstaff (0.12),courtyard (0.2),cared (0.27),better (0.31),monitor (0.3),overdone (0.19),bug (0.33),broccoli (0.13),maintenance (0.25),mon (0.12),cbd (0.18),opener (0.29),stayed (0.2),hundred (0.2),hereafter (0.18),ga (0.1),basil (0.03),enterprise (0.16),wake (0.19),trim (0.16),pine (0.2),nonholiday (0.21),stk (0.05),manicure (-0.45),shrimp (-0.04),jalapeo (0.2),efficiently (0.04),delayed (0.2),sausage (-0.32),father (0.09),fabulous (-0.7),condition (0.23),thali (0.07),premier (0.08),removing (0.19),entitlement (0.13),rotisserie (0.1),allowed (0.17),threatened (0.2),seed (0.04),br (0.12),exercise (0.09),aladdin (0.09),tech (-0.24),bed (0.0),nose (0.12),maker (0.1),hip (-0.05),muffin (0.03),purse (0.15),ed (0.12),dr (-0.5),taco (-1.94),ice_cream (-1.41),entertaining (0.04),pork (-1.53),designed (0.06),miranda (0.12),wine (-1.22),vet (-0.43),medication (0.01),jacket (-0.03),relax (-0.08),,therapist (-0.1),park (-0.25),de (-0.57),,
thought (1.19),simply (0.91),trash (1.51),reason (0.96),refused (1.05),dont (0.82),meaning (0.4),forgetting (0.42),issue (0.48),rave (0.14),blatantly (0.42),buck (0.46),patron (0.55),hospitality (0.1),payment (0.91),purchase (0.42),arrive (0.49),resolve (0.61),decently (0.15),cordial (-0.05),printed (0.59),walgreens (0.22),tin (0.22),nightmare (0.39),min_later (0.19),bone (0.15),june (0.3),salty (0.55),plastic (0.35),younger (0.36),insanely (0.2),sever (0.03),signage (0.16),experienced (0.27),difference (0.3),machine (0.28),plain (0.17),cigarette (0.31),pepperoni (0.11),property (0.24),afternoon (0.1),bottomless (0.17),ac (0.27),doubletree (0.2),eight (0.15),jerrod (0.16),usa (0.1),mild (0.01),auto (0.14),suffering (0.17),curl (0.14),land (0.19),agh (0.21),coworker (0.03),gel (-0.49),sampler (-0.16),sauce (0.15),communicated (0.04),plane (0.18),waffle (-0.52),teen (0.07),highly_recommended (-0.74),diagnosis (0.21),kebab (-0.08),director (0.08),sloppy (0.18),spark (0.13),cow (0.09),carefully (0.15),forced (0.18),drizzle (0.03),palm_beach (0.12),activity (0.08),zombie (0.08),technician (-0.45),slept (-0.05),bled (0.1),vast (0.09),bright (-0.2),banana (0.02),nursery (0.14),john (0.11),,burrito (-2.18),cake (-1.96),band (0.04),pho (-2.2),moon (0.06),sara (0.1),,,medical (-0.15),worn (-0.07),waxed (-0.16),,pressure (-0.13),explore (-0.47),la (-0.85),,
left (1.19),understand (0.84),zero_star (1.47),anyone (0.86),ignored (0.99),word (0.81),keep (0.39),rush (0.41),requested (0.45),ra (0.14),dismissive (0.4),rip (0.45),behind (0.46),foodie (0.09),credit_card (0.9),buying (0.4),uber_eats (0.48),phone_call (0.58),crowded (0.13),heartbeat (-0.05),update (0.57),sellwood (0.2),apart (0.2),misleading (0.39),hr (0.07),cornbread (0.14),changed (0.27),flavorless (0.46),straw (0.31),bald (0.32),absolute (0.19),reservation (-0.21),booth (0.13),energy (0.25),value (0.25),dash (0.27),slightly (0.16),tub (0.31),mash (0.11),resident (0.23),early (0.08),drinking (0.14),dishwasher (0.25),booked (0.17),four (0.12),churn (0.15),vancouver (0.09),vegetable (0.0),loaner (0.13),fighting (0.17),bang (0.11),trap (0.18),transgression (0.2),celebrate (0.0),wax (-0.5),tuna (-0.25),cucumber (0.14),professionally (0.04),flying (0.16),croissant (-0.53),twin (0.04),exceptional (-0.77),ohsu (0.18),yakisoba (-0.44),radio (0.07),fell (0.18),intolerable (0.13),purnima (0.08),restriction (0.15),irresponsible (0.18),gooey (0.03),ge (0.11),weight (0.07),urban (0.07),,,needle (0.1),amongst (0.08),setting (-0.2),cinnamon (-0.07),backpack (0.11),elliot (0.11),,margarita (-2.47),donut (-2.99),blast (-0.03),,princess (0.04),abby (0.1),,,,shoe (-0.31),natural (-0.19),,massage (-0.35),view (-0.6),,,
later (1.18),least (0.81),worse (1.42),could_give (0.75),fault (0.88),guess (0.8),part (0.37),chat (0.36),receiving (0.44),p (0.13),behavior (0.39),cheap (0.44),register (0.45),culinary (0.09),bank (0.88),shop (0.37),deliver (0.47),contact (0.55),lately (0.11),calm (-0.06),printing (0.51),decatur (0.2),stacked (0.18),lied (0.34),wait (-2.92),bun (0.13),january (0.22),tasteless (0.44),warmed (0.29),yell (0.32),longest (0.16),server (-0.28),entry (0.13),industry (0.22),compare (0.2),running (0.27),deep (0.14),weed (0.29),spinach (0.1),condo (0.2),midnight (0.07),pour (0.12),electrical (0.24),hyatt (0.15),roughly (0.07),clubbing (0.15),denver (0.09),ingredient (-0.05),lexus (0.11),nap (0.17),jagged (0.11),season (0.13),thots (0.2),occasion (-0.04),acrylic (-0.72),entree (-0.29),vinegar (0.13),coordinating (0.04),gate (0.15),jam (-0.62),mother (0.04),top_notch (-0.79),oxygen (0.18),rice (-0.5),marketing (0.06),falling (0.17),eggshell (0.13),entres (0.08),proper (0.13),stealing (0.17),toasted (0.02),unskilled (0.1),learning (0.06),rink (0.06),,,healed (0.08),curiosity (0.08),interior (-0.21),mango (-0.21),bud (0.09),adrian (0.11),,,,concert (-0.14),,design (0.04),nancy (0.08),,,,,facial (-0.57),,body (-0.38),,,,
